type,id,score,info,name,phone,poi/categorySet/item/0/id,poi/categories/item/0,poi/categories/item/1,poi/classifications/item/0/code,poi/classifications/item/0/names/item/0/nameLocale,poi/classifications/item/0/names/item/0/name,poi/classifications/item/0/names/item/1/nameLocale,poi/classifications/item/0/names/item/1/name,streetNumber,streetName,municipality,countrySecondarySubdivision,countryTertiarySubdivision,countrySubdivision,countrySubdivisionName,postalCode,extendedPostalCode,countryCode,country,countryCodeISO3,freeformAddress,localName,lat,lon,viewport/topLeftPoint/lat,viewport/topLeftPoint/lon,viewport/btmRightPoint/lat,viewport/btmRightPoint/lon,entryPoints/item/0/type,entryPoints/item/0/position/lat,entryPoints/item/0/position/lon,poi/url,address/municipalitySubdivision,poi/brands/item/0/name
POI,US/POI/p0/9764862,2.1458098888397217,search:ta:840449000163602-US,Sayfs Enterprises,+(1)-(401)-9430002,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,397,Dyer Ave,Cranston,Providence,Cranston,RI,Rhode Island,02920,029207087,US,United States,USA,"397 Dyer Ave, Cranston, RI 02920",Cranston,41.80325,-71.45858,41.80415,-71.45979,41.80235,-71.45737,main,41.8032,-71.45833,,,
POI,US/POI/p1/1347582,2.145709991455078,search:ta:840259000150817-US,Eastern Salt Co,+(1)-(978)-2518553,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,15,Tyngsboro Rd,North Chelmsford,Middlesex,Chelmsford,MA,Massachusetts,01863,018631370,US,United States,USA,"15 Tyngsboro Rd, North Chelmsford, MA 01863",North Chelmsford,42.64,-71.38379,42.6409,-71.38501,42.6391,-71.38257,main,42.63984,-71.38397,roadsalt.com,North Chelmsford,
POI,US/POI/p0/1525758,2.1456899642944336,search:ta:840259001187375-US,Littleton Convinience,+(1)-(978)-3395365,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,12,Jennifer St,Littleton Common,Middlesex,Littleton,MA,Massachusetts,01460,014601734,US,United States,USA,"12 Jennifer St, Littleton Common, MA 01460",Littleton Common,42.54485,-71.47424,42.54575,-71.47546,42.54395,-71.47302,main,42.54472,-71.47451,,,
POI,US/POI/p0/4065278,2.1456899642944336,search:ta:840091000240846-US,New Medical Foods,+(1)-(203)-4531064,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,69,Brookwood Road,Guilford,New Haven,Guilford,CT,Connecticut,06437,,US,United States,USA,"69 Brookwood Road, Guilford, CT 06437",Guilford,41.31159,-72.72004,41.31249,-72.72124,41.31069,-72.71884,main,41.31166,-72.71955,,,
POI,US/POI/p0/1522686,2.1456799507141113,search:ta:840259000965014-US,Din Majid,+(1)-(413)-7327583,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,179,Walnut St,Springfield,Hampden,Springfield,MA,Massachusetts,01105,011051528,US,United States,USA,"179 Walnut St, Springfield, MA 01105",Springfield,42.10431,-72.57139,42.10521,-72.5726,42.10341,-72.57018,main,42.1042,-72.57154,,,
POI,US/POI/p0/1504254,2.145669937133789,search:ta:840259002384629-US,Salvadorian Mini Mart,+(1)-(774)-4705086,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,115,Corporation St,Barnstable Town,Barnstable,Barnstable Town,MA,Massachusetts,02601,026012296,US,United States,USA,"115 Corporation St, Barnstable Town, MA 02601",Barnstable Town,41.66643,-70.30017,41.66733,-70.30137,41.66553,-70.29897,main,41.66676,-70.30003,,Hyannis,
POI,US/POI/p1/1348606,2.145669937133789,search:ta:840259000047282-US,State Line Mart & Smoke Shop,+(1)-(508)-3365000,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,155,Fall River Ave,Seekonk,Bristol,Seekonk,MA,Massachusetts,02771,027715531,US,United States,USA,"155 Fall River Ave, Seekonk, MA 02771",Seekonk,41.82381,-71.34203,41.82471,-71.34324,41.82291,-71.34082,main,41.82391,-71.34172,,,
POI,US/POI/p0/1369598,2.1456499099731445,search:ta:840259000711847-US,Absolutely Juiced,+(1)-(508)-5398700,9361023,food drinks: grocers,shop,SHOP,en-US,food drinks: grocers,en-US,shop,6,Northwest Lndg,New Seabury,Barnstable,Mashpee,MA,Massachusetts,02649,026494661,US,United States,USA,"6 Northwest Lndg, New Seabury, MA 02649",New Seabury,41.56325,-70.48627,41.56415,-70.48747,41.56235,-70.48507,main,41.56336,-70.4854,,,
POI,US/POI/p1/4158974,2.1456499099731445,search:ta:840099001229036-US,Cumberland Farms,+(1)-(860)-8710168,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,5,Wapping Wood Rd,Ellington,Tolland,Ellington,CT,Connecticut,06029,060294007,US,United States,USA,"5 Wapping Wood Rd, Ellington, CT 06029",Ellington,41.8673,-72.49348,41.8682,-72.49469,41.8664,-72.49227,main,41.86709,-72.49332,,,Cumberland Farms
POI,US/POI/p0/4139518,2.1456398963928223,search:ta:840099001234272-US,Cumberland Farms,+(1)-(860)-4892865,9361009,convenience stores,shop,SHOP,en-US,shop,en-US,convenience stores,705,Migeon Ave,Torrington,Litchfield,Torrington,CT,Connecticut,06790,067904551,US,United States,USA,"705 Migeon Ave, Torrington, CT 06790",Torrington,41.81437,-73.13736,41.81527,-73.13857,41.81347,-73.13615,main,41.81444,-73.13734,https://locations.cumberlandfarms.com/us/ct/torrington/705-migeon-ave,,Cumberland Farms
